Predict Value,Real Value
969608.3468061438,894251.0686357756
953868.155486459,932979.3606213251
907506.3283612672,920747.9112878873
493325.2603231461,691854.9210270025
718221.2101154376,732733.2362930495
1047741.3114747982,945252.1918038172
714277.1383515694,624482.7635866479
789465.4606420503,849566.0855445924
1801537.1030617172,1544379.7477356796
1538689.911654954,1535262.440790424
746134.6458876336,568842.5355753638
1142863.8565940391,1137523.110871686
2119400.91620247,2092949.8613406112
973936.0403182732,985749.7873565349
1151565.0544665654,1265180.9089164848
875394.2846503785,814240.281598352
1105085.1971055437,998773.9972584788
799981.418575539,810537.1483921647
1205406.796250662,978312.7484191256
1410364.2240150243,1535946.643113821
1139321.658354577,1057252.5826211008
1065180.0541460293,1031146.7545545298
1436746.6898095265,1599634.4650367943
1176747.9201482737,1086716.795708651
1296885.5157299559,1168845.8151736828
1119536.2779800585,1192677.550021043
1118739.2838541982,1064371.764120051
1372819.9108941727,1377275.1787725226
1589552.1509207727,1479295.570937294
1193051.7649964634,1182335.6796501088
1562561.2813482573,1545864.1664834968
2002690.4377887384,2105991.791564209
893879.2729889152,809486.7099279496
1325364.7996459503,1464929.1621903444
1183514.5494671094,1411054.3169406827
749053.5174952318,758262.6121106534
1083144.5814632415,1205114.2302070523
1578365.078662344,1684554.7154528482
1260638.6937802075,1234629.59549004
1332899.8330173937,1295945.6168409942
1597059.8071300788,1735340.255686551
959124.8631408669,943854.7278973317
1220452.4235405433,1103485.7072640855
1113758.771214856,1129408.8701258716
1035246.5352192865,868314.4735625429
1699241.5459674099,1649947.1597520176
1015935.1364734325,1131618.9133648446
1617238.961826209,1786085.7505429985
1155095.0367931419,1214320.5743640617
1382187.2540095437,1574181.7317531754
1336682.566221718,1454035.0082315337
1581555.7985239548,1557276.064431644
1491836.1138216092,1760734.690364014
1722672.1844443255,1502447.9167287892
1214689.7912171693,1495518.62392568
576134.6582827579,585531.238099097
1211546.3111523287,1245400.955310805
1430511.8401926123,1535781.3940854766
818017.9142927804,860346.470698685
1697420.1900568167,1553976.2339049217
1646609.675277326,1517597.5270904675
1619410.3842520635,1641055.9390446388
1204863.7678126243,1449409.4356042852
1323473.4550106963,1289201.390733304
1190508.0218131158,1043548.6091084077
1159266.1309791142,1195601.9623484935
927129.0058862572,1025439.4339352736
1491343.245137135,1721261.81159612
1316148.0799470015,1384802.4642054217
1132674.3296264661,1085101.324005708
1222707.964314091,1285399.5645622916
1664957.5375525646,1550036.518714004
484091.7108798949,617157.9102965128
1185120.993052673,1030016.6447495208
1995970.4498672006,1940195.3735729896
1860042.7434291984,2049146.62989614
1769430.5561054742,1734373.0438199642
1365225.9971591898,1388530.1566836066
1293154.8562015474,1339636.18702554
1279742.2176006932,1244955.4607115337
1066286.68290258,1058517.809925588
1267067.3334781055,1361521.9829376258
1630997.127380098,1407291.850814192
1052285.4867325947,837668.1026021099
1054638.6873640302,1050838.7041572668
1226739.3058254558,1186357.179044665
1245172.915696938,1123386.5312002872
1169197.449764149,1168993.7588005515
1706969.617339624,1667560.879303713
