Predict Value,Real Value
788709.433051366,764635.9979283088
1742577.7064038943,1598615.9744864176
1601747.139609755,1692308.589766106
743891.6184546553,673571.3460100302
1052534.2865956589,1187454.6724878063
1033502.7961466856,1027311.507673405
1315779.4590741757,1384478.3045482538
1443708.5102240362,1494101.444719538
1763671.7393571709,1771036.924519853
1293599.1289488133,1236044.315553221
1848065.060591499,1942640.265322809
1389121.7536514367,1328586.2904618224
1357352.064993671,1185743.8241796806
1212082.1032570356,1267443.3976117745
1746386.556188678,1642478.735656444
1072638.442058777,1143672.8254142758
1778758.0041716862,1570583.3403398057
1525627.2361283577,1543966.4264482334
1041929.2019710616,1063206.3779510346
1089875.143039169,1217309.1294013518
1207396.9588018274,1073254.1440631042
1274113.8389872026,1130221.2976257126
1351954.1134471279,1317467.5820226492
1256272.5180804557,1268703.8107933956
825398.7845695476,624244.9443876417
842438.9298519469,874755.2932874024
1171024.2217341422,1352135.9672641808
1642777.9972605351,1553395.5620625832
945527.0622459836,834268.3429210645
873759.399896116,717825.3596950844
1244057.1592542292,1279464.6466970122
843969.6230774776,677988.2554676826
1262078.5071089624,1084763.029661108
1826578.4386034927,1740671.7300511326
1422516.6496242962,1311765.1414692528
1309307.718977829,1222726.5643610675
1144763.414472537,1094574.185214063
1440537.686663776,1599634.4650367943
999462.0295727282,1084011.704468987
1796494.6234858714,1891949.3478333612
967858.5494239286,790721.3677899047
1108087.233678126,1137224.5754304302
1247875.0524630358,1140579.6178930926
1290934.2904627088,1300031.2303332195
1491158.6240017735,1517693.106201501
1732417.8485386635,1781211.4141488497
797603.5533577483,810537.1483921647
1154008.9089816054,1131887.7617860057
1336390.2926729526,1333865.4377201414
1303702.7017551211,1347202.5775821644
1024396.5912348143,978241.2890513648
1544383.7317302593,1721739.3841384957
881556.8241311078,802274.128946526
1022276.5727952244,1124396.2490127091
1247555.0366851022,1383651.8270781066
1365827.9791329254,1347234.0930270965
1556840.5201523425,1450786.775373464
1109328.931404357,1132146.3204353235
1540018.1984632642,1520371.0075154612
1090679.705311495,1081578.6194758175
1676128.5425934466,1708127.5780654566
1428699.4487778342,1393746.760467427
1640618.3147526046,1552536.7639745462
1284445.859629477,1397680.2412138034
1153665.634706533,1124818.114195813
913877.6610052796,1086825.753933058
1267100.4071113865,1247289.4901993414
2190053.1737706773,2115010.703597609
1130178.2563221124,1285312.24421709
1761789.6786105486,1777516.4494720032
1410164.1289406756,1522143.6413856593
1298816.295993727,1339254.7267992808
2001575.5628128755,1967637.286822351
1406626.6317285846,1431517.3576797748
1054897.9612903004,837668.1026021099
963236.1136036492,1033626.4114965133
1185161.4095866655,1172133.4868414924
1460654.1435265306,1418977.8285825343
1651804.458438066,1675702.2232534871
1759680.4017034878,1626321.3209583594
1048319.04169641,1000043.9033467688
1616893.0304503536,1594748.124584562
1410933.9399289037,1297619.3482987224
1338101.0539946288,1344523.4084306443
1695083.2892306098,1714266.2737553422
1617877.657551737,1604920.973458414
1669231.8295462837,1613325.6545713157
1136940.5950535268,980983.2109523584
1034198.1183039754,998702.0371241436
1613181.278726043,1744932.210990927
1565928.1618438268,1524621.7282514698
1063698.3947991563,1135030.6828346122
1824893.5313909368,1938713.9850756093
1045846.1540070502,1049798.7849306162
1294395.2279468484,1183272.5108070918
1376390.7500089821,1370699.722372912
1160779.2122569047,1106149.6856573927
1244159.972098473,1203089.9890176975
1386692.2323844405,1365945.0827829945
1375461.6354478034,1524115.890915512
1513099.9548534632,1581865.5587473265
921958.2074800899,885796.2795967467
1537963.6141022209,1530124.0163168954
989344.3509704999,913978.5733876184
865148.3375753365,866142.183934873
1043646.8193110756,1091143.398762329
1419930.7744573138,1421518.6019075266
1587505.8396018327,1630434.8406869494
1347584.6585913543,1297849.7636572844
1499282.8305192103,1471746.5551187627
1130585.2477369478,984349.6141548756
1214042.6746711247,1413105.4948034876
1394250.31471112,1232004.8298347492
1537815.4433465456,1417819.740218086
886841.337798543,1016301.4433502624
1784702.3989045073,1900999.54590532
1296511.955599928,1358526.7412621249
1237413.8533829816,1163741.658300815
1099575.8623257282,1072503.237943672
1244728.2126972782,1178553.6161792604
1746165.7271707847,1659170.5127753727
950882.4420879707,1042814.0978200928
1319855.714024978,1376146.8111116744
876607.7528355308,690958.5496887366
2018892.0637401317,1924561.807179873
1735436.6320459032,1720258.777124667
1735192.596205579,1564563.5680690026
1129997.833834634,1173201.5189552563
1410264.2737802651,1432252.081073976
1142879.8463530287,1110598.7546988558
1022465.7111191085,1288122.6243460544
1099530.5463365829,1160526.0577474134
775165.3339045037,742449.3106376197
1095118.6658808547,1181338.1609886792
1243300.3289966627,1342997.6449288395
1575214.427943377,1537897.1181187208
1572223.7104457098,1689512.1795895589
619727.9413145338,491085.8259962853
781283.6381881292,1004340.0359426616
1130704.0723397257,1308465.2400430096
911760.9404857275,885249.1824916627
1619181.1577095443,1742566.006048019
480364.40175046265,628870.345640628
1651487.306843523,1688642.6785448364
1059059.6255791767,850593.3376577138
2024428.6005605203,1989672.5239908115
1083899.6426493193,1194191.8785113744
1285313.2635552238,1422916.8108158372
788197.5338743102,868435.2750090398
1378850.915234343,1193021.3116128664
1350846.1126197593,1393100.4226061562
1186696.9184447841,1237224.8587518162
927685.71400459,1026817.399788458
1359214.2486993151,1279051.66941566
1354273.7943682284,1277172.4757745827
1667995.6930640517,1558758.7958587606
865438.1553059055,682632.8048559022
829727.640747819,746096.728900488
1552326.5829094024,1528900.8563697478
790946.1349740168,738030.6498645385
1514604.4004041723,1561234.1331688557
1360224.6128125323,1469354.7823322408
1863931.8078014432,1710612.0295451423
1259229.4853840198,1251688.6157028745
868984.7693171399,814573.147135164
1443987.5380622398,1428693.929893514
1380333.4134538125,1222020.821335913
1001130.0705406134,1014093.309964624
1764955.9001062557,1664301.512323261
1794779.706155263,1848633.7242772905
690322.5531763977,725040.8959547429
1444485.305916736,1447671.6746821608
1674688.5535694861,1693384.8030654874
1388412.0252441647,1247281.6983108672
930080.3098441418,884015.227068824
928604.8665723718,934408.7142813632
794652.4300444602,804453.869783905
1052268.6238137532,1092649.7088299526
538483.8923742806,706135.144638913
1033724.8932738262,954732.9038402882
915842.720358843,753930.5825393641
1025985.3328004706,1125476.2017695494
1019233.8683349545,1039915.3412099368
602121.04404334,544320.6881466628
926441.1789838948,1025439.4339352736
1323550.8036627762,1162854.5519412763
1470339.6360994119,1357575.8516151062
1435942.5074624782,1527492.3438923082
1106647.5663502233,1179278.0943348084
847745.3604701647,916717.6046638167
1138201.3470369459,1095768.7333528611
1170544.6611675308,1185226.6173301823
1120594.7243555859,1173695.2918510274
1104277.9537033085,1151189.6422095394
1125070.7442311998,1071537.3763820732
953326.370844131,799842.3758048095
1238454.8061130533,1078713.2270293708
1236324.0410626298,1398760.046508387
1713557.1823296903,1492786.6274919594
1096970.615495446,1113856.5433985677
1391548.9475276084,1393482.8496279658
1663855.7459740788,1599996.9614292644
760046.9905995071,667428.2537163104
1723282.040193774,1660678.035086839
1146979.238277256,1245749.5943833694
1433431.3969507746,1250958.248014175
1314784.940547286,1420070.0203998378
1104729.9467777275,1133910.648443125
1059065.0995835771,1004430.3243619604
1139215.9615447782,1175504.48633204
1743210.8200252047,1813043.926135564
1180171.9165847765,1124635.9316285902
575718.4409307544,485533.680357686
1133998.0321445267,1158742.829939291
1844390.7964009973,1958064.74206054
1141209.0010086151,1057252.5826211008
1124020.4495512727,1111710.900422078
795828.4408616531,871325.261278003
1099839.4091938091,1227401.538986844
886994.039419996,940138.9613987308
1253013.2227638103,1129798.3727253522
1412468.3365152131,1527961.8348630974
1733707.57717905,1798521.604522182
1184405.2437881217,1069292.3268591478
257248.01801777267,334485.1931043381
1409603.3415968642,1482617.728622024
1157349.9502861144,1086735.9127637602
1560564.4882278058,1406865.4945607523
1553787.1306813394,1523915.1446841708
1341634.4175301378,1412097.1767743204
1338145.8955810145,1169653.821377547
1075245.165255612,1026505.8205659144
1304724.3543418292,1375105.3459220582
832355.211642341,1039380.7224796106
1294669.4995109946,1100152.0877663638
1759649.3473095237,1795222.73568574
1528782.4053695544,1445527.1366654434
2036304.8932184612,2045693.8197491344
1378995.5587635224,1128644.4616760088
2191665.613057984,2152959.4089430883
1572424.9533912411,1652845.980628764
1255826.2788276854,1193482.5030929646
1066769.5684883704,1123765.3462531995
1505971.631776056,1431915.977008168
1513524.6817743704,1469237.2051925203
1076464.0021078417,1080735.9840692123
1102059.3139590363,975921.8633596771
1761131.5447066356,1795093.0340089437
1372789.2479691347,1355556.9536497225
1349760.7197542721,1331897.4568409575
1485854.3739402785,1335830.7924195908
837240.8421791943,943668.4823796288
1494136.5973553164,1457672.9056885603
1417507.058441753,1440897.4124288629
993345.4722224318,1019880.6530541872
1433326.2152868917,1356062.1044986642
1222609.8795500004,1353488.4164629697
768941.759306099,573434.664234319
1349429.829771876,1286572.9785179654
1573644.1120109991,1617405.4247335156
1740908.1955394894,1705762.7883189672
1700584.4341670794,1638969.269045829
1223375.8771055008,1258686.2857108044
1347026.7635069788,1469767.6472201273
1589926.81708965,1584439.7128321177
1239021.6603882303,1065907.0809130038
619894.3636659763,693566.7572719983
835318.2965464434,756319.7340442679
1441142.3782021324,1553592.9799469225
782763.9526179174,745996.3305840503
934008.6461234813,1115323.0148424057
661231.1099161064,619664.2511643859
1826706.8248200798,1945618.658114016
713157.0599782573,637189.9593712335
1193700.668991908,1154126.215688569
839365.0400833677,1017775.5118270963
1725892.8174078276,1754866.3954783296
817051.2349465276,854812.2579554294
958872.1995467207,999970.6794284901
1376490.7428398316,1577017.7600015546
472805.40850358206,503065.50562420936
1988958.3348641547,2016910.7397073263
1791983.2846175837,1795445.897701184
1155858.5414441875,1337966.9267592845
1563675.387333094,1475319.699135584
1190480.2445481303,1092843.3004067922
1094876.4557782435,1122240.3639845713
1028832.7278076215,1193253.801043337
1826716.0253546613,1876497.2688775952
1075031.7549622995,1208458.2463001548
1545576.995524291,1571464.9652219615
1349586.003426752,1384466.4369129457
1439154.365439931,1460044.5462501282
1145018.1230404726,1161457.8482887049
1019978.745224306,946182.0501766272
1224986.2511618575,1199760.291716345
